scene_id,trip_id,substance,block,rater_status,stage1_verdict,verdict_flavour,attr__auditory_hallucination__animal__insect,attr__auditory_hallucination__animal__mammal,attr__auditory_hallucination__animal__other,attr__auditory_hallucination__artefact__other,attr__auditory_hallucination__extraordinary_entity__alien,attr__auditory_hallucination__extraordinary_entity__other,attr__auditory_hallucination__extraordinary_entity__spirit,attr__auditory_hallucination__human__celebrity_ies,attr__auditory_hallucination__human__other_s,attr__auditory_hallucination__human__relative_s_acquaintance_s,attr__auditory_hallucination__human__unknown_person_s,attr__auditory_hallucination__inorganic_entity__other,attr__auditory_hallucination__plant__other,attr__auditory_hallucination__plant__tree_shrub,attr__gustatory_hallucination,attr__modal_status_of_the_hallucination__impossible_event,attr__modal_status_of_the_hallucination__possible_and_probable_event,attr__modal_status_of_the_hallucination__possible_but_improbable_event,attr__nonsensory_hallucination__extraordinary_entity,attr__nonsensory_hallucination__human,attr__nonsensory_hallucination__inorganic_entity,attr__nonsensory_hallucination__other,attr__olfactory_hallucination__human,attr__tactile_hallucination__artefact,attr__tactile_hallucination__extraordinary_entity,attr__tactile_hallucination__human,attr__tactile_hallucination__inorganic_entity,attr__tactile_hallucination__other,attr__tactile_hallucination__plant,attr__type_of_visual_alteration__full_blown_immersive_hallucination,attr__type_of_visual_alteration__hallucination_of_a_detached_object,attr__type_of_visual_alteration__hallucination_of_an_incrusted_object,attr__type_of_visual_alteration__illusion,attr__visual_hallucination__animal__aquatic_animal,attr__visual_hallucination__animal__bird,attr__visual_hallucination__animal__insect,attr__visual_hallucination__animal__mammal,attr__visual_hallucination__animal__other,attr__visual_hallucination__artefact__city_building_furniture,attr__visual_hallucination__artefact__other,attr__visual_hallucination__artefact__technological_device,attr__visual_hallucination__artefact__tool_cloth,attr__visual_hallucination__artefact__vehicle,attr__visual_hallucination__extraordinary_entity__alien,attr__visual_hallucination__extraordinary_entity__chimera,attr__visual_hallucination__extraordinary_entity__god,attr__visual_hallucination__extraordinary_entity__other,attr__visual_hallucination__extraordinary_entity__spirit,attr__visual_hallucination__geometrical_pattern,attr__visual_hallucination__human__celebrity_ies,attr__visual_hallucination__human__historical_figure_s,attr__visual_hallucination__human__other_s,attr__visual_hallucination__human__relative_s_acquaintance_s,attr__visual_hallucination__human__unknown_person_s,attr__visual_hallucination__inorganic_entity__earth_river_sky_cloud,attr__visual_hallucination__inorganic_entity__other,attr__visual_hallucination__inorganic_entity__stone_rock,attr__visual_hallucination__plant__flower_grass,attr__visual_hallucination__plant__mushroom_fungus,attr__visual_hallucination__plant__other,attr__visual_hallucination__plant__tree_shrub
Brugmansia_01_S01_AB,Brugmansia_01,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_01_S02_B_RCL,Brugmansia_01,brugmansia,01-10,only_B,AMBIGUITY,2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_01_S03_AB,Brugmansia_01,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_01_S04_AB,Brugmansia_01,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_01_S05_A_RCL,Brugmansia_01,brugmansia,01-10,only_A,AMBIGUITY,2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_01_S06_AB,Brugmansia_01,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_01_S07_AB,Brugmansia_01,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_01_S08_AB,Brugmansia_01,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_02_S01_B_RCL,Brugmansia_02,brugmansia,01-10,only_B,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_02_S02_B_RCL,Brugmansia_02,brugmansia,01-10,only_B,AMBIGUITY,2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_02_S03_A_RCL,Brugmansia_02,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_02_S04_A_RCL,Brugmansia_02,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_02_S05_A_RCL,Brugmansia_02,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brugmansia_02_S06_B_RCL,Brugmansia_02,brugmansia,01-10,only_B,AMBIGUITY,2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_03_S01_AB,Brugmansia_03,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_03_S02_AB,Brugmansia_03,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_03_S03_AB,Brugmansia_03,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_04_S01_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brugmansia_04_S02_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S03_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S04_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S05_A_RCL,Brugmansia_04,brugmansia,01-10,only_A,AMBIGUITY,2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S06_A_RCL,Brugmansia_04,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S07_B_RCL,Brugmansia_04,brugmansia,01-10,only_B,AMBIGUITY,2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S08_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S09_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S11_A_RCL,Brugmansia_04,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S12_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S13_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S14_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_04_S15_AB,Brugmansia_04,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_05_S01_A_RCL,Brugmansia_05,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06_S01_A_AMP,Brugmansia_06,brugmansia,01-10,only_A,AMBIGUITY,2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06_S02_AB,Brugmansia_06,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06_S03_B_RCL,Brugmansia_06,brugmansia,01-10,only_B,AMBIGUITY,2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06_S04_A_RCL,Brugmansia_06,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06_S05_A_RCL,Brugmansia_06,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_06_S06_B_RCL,Brugmansia_06,brugmansia,01-10,only_B,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_06_S07_B_RCL,Brugmansia_06,brugmansia,01-10,only_B,AMBIGUITY,2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_07_S01_AB,Brugmansia_07,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_07_S02_A_RCL,Brugmansia_07,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,01-10,both,CONVERGENT,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_08_S01_A_RCL,Brugmansia_08,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_08_S02_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brugmansia_08_S03_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_08_S04_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_08_S05_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_08_S06_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_08_S07_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_08_S08_AB,Brugmansia_08,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_09_S01_AB,Brugmansia_09,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_09_S02_AB,Brugmansia_09,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_09_S03_A_RCL,Brugmansia_09,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brugmansia_09_S04_AB,Brugmansia_09,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_09_S05_AB,Brugmansia_09,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brugmansia_10_S01_A_RCL,Brugmansia_10,brugmansia,01-10,only_A,MISS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_10_S02_AB,Brugmansia_10,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_10_S03_AB,Brugmansia_10,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brugmansia_10_S04_AB,Brugmansia_10,brugmansia,01-10,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_11_S01_AB,Brugmansia_11,brugmansia,11-20,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brugmansia_11_S02_AB,Brugmansia_11,brugmansia,11-20,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brugmansia_11_S03_AB,Brugmansia_11,brugmansia,11-20,both,CONVERGENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
