scene_id,trip_id,rater_status,bin_id
Brugmansia_01_S01_AB,Brugmansia_01,both,Brugmansia_01_B001
Brugmansia_01_S02_B_RCL,Brugmansia_01,only_B,Brugmansia_01_B002
Brugmansia_01_S03_AB,Brugmansia_01,both,Brugmansia_01_B003
Brugmansia_01_S04_AB,Brugmansia_01,both,Brugmansia_01_B004
Brugmansia_01_S05_A_RCL,Brugmansia_01,only_A,Brugmansia_01_B005
Brugmansia_01_S06_AB,Brugmansia_01,both,Brugmansia_01_B006
Brugmansia_01_S07_AB,Brugmansia_01,both,Brugmansia_01_B007
Brugmansia_01_S08_AB,Brugmansia_01,both,Brugmansia_01_B008
Brugmansia_02_S01_B_RCL,Brugmansia_02,only_B,Brugmansia_02_B009
Brugmansia_02_S02_B_RCL,Brugmansia_02,only_B,Brugmansia_02_B010
Brugmansia_02_S03_A_RCL,Brugmansia_02,only_A,Brugmansia_02_B011
Brugmansia_02_S04_A_RCL,Brugmansia_02,only_A,Brugmansia_02_B012
Brugmansia_02_S05_A_RCL,Brugmansia_02,only_A,Brugmansia_02_B013
Brugmansia_02_S06_B_RCL,Brugmansia_02,only_B,Brugmansia_02_B014
Brugmansia_03_S01_AB,Brugmansia_03,both,Brugmansia_03_B015
Brugmansia_03_S02_AB,Brugmansia_03,both,Brugmansia_03_B016
Brugmansia_03_S03_AB,Brugmansia_03,both,Brugmansia_03_B017
Brugmansia_04_S01_AB,Brugmansia_04,both,Brugmansia_04_B018
Brugmansia_04_S02_AB,Brugmansia_04,both,Brugmansia_04_B019
Brugmansia_04_S03_AB,Brugmansia_04,both,Brugmansia_04_B020
Brugmansia_04_S04_AB,Brugmansia_04,both,Brugmansia_04_B021
Brugmansia_04_S05_A_RCL,Brugmansia_04,only_A,Brugmansia_04_B022
Brugmansia_04_S06_A_RCL,Brugmansia_04,only_A,Brugmansia_04_B023
Brugmansia_04_S07_B_RCL,Brugmansia_04,only_B,Brugmansia_04_B024
Brugmansia_04_S08_AB,Brugmansia_04,both,Brugmansia_04_B025
Brugmansia_04_S09_AB,Brugmansia_04,both,Brugmansia_04_B026
Brugmansia_04_S10_AB,Brugmansia_04,both,Brugmansia_04_B026
Brugmansia_04_S11_A_RCL,Brugmansia_04,only_A,Brugmansia_04_B027
Brugmansia_04_S12_AB,Brugmansia_04,both,Brugmansia_04_B028
Brugmansia_04_S13_AB,Brugmansia_04,both,Brugmansia_04_B029
Brugmansia_04_S14_AB,Brugmansia_04,both,Brugmansia_04_B030
Brugmansia_04_S15_AB,Brugmansia_04,both,Brugmansia_04_B030
Brugmansia_05_S01_A_RCL,Brugmansia_05,only_A,Brugmansia_05_B031
Brugmansia_06_S01_A_AMP,Brugmansia_06,only_A,Brugmansia_06_B032
Brugmansia_06_S02_AB,Brugmansia_06,both,Brugmansia_06_B033
Brugmansia_06_S03_B_RCL,Brugmansia_06,only_B,Brugmansia_06_B034
Brugmansia_06_S04_A_RCL,Brugmansia_06,only_A,Brugmansia_06_B035
Brugmansia_06_S05_A_RCL,Brugmansia_06,only_A,Brugmansia_06_B036
Brugmansia_06_S06_B_RCL,Brugmansia_06,only_B,Brugmansia_06_B037
Brugmansia_06_S07_B_RCL,Brugmansia_06,only_B,Brugmansia_06_B038
Brugmansia_07_S01_AB,Brugmansia_07,both,Brugmansia_07_B039
Brugmansia_07_S02_A_RCL,Brugmansia_07,only_A,Brugmansia_07_B040
Brugmansia_07_S03_AB,Brugmansia_07,both,Brugmansia_07_B041
Brugmansia_08_S01_A_RCL,Brugmansia_08,only_A,Brugmansia_08_B042
Brugmansia_08_S02_AB,Brugmansia_08,both,Brugmansia_08_B043
Brugmansia_08_S03_AB,Brugmansia_08,both,Brugmansia_08_B044
Brugmansia_08_S04_AB,Brugmansia_08,both,Brugmansia_08_B045
Brugmansia_08_S05_AB,Brugmansia_08,both,Brugmansia_08_B046
Brugmansia_08_S06_AB,Brugmansia_08,both,Brugmansia_08_B047
Brugmansia_08_S07_AB,Brugmansia_08,both,Brugmansia_08_B048
Brugmansia_08_S08_AB,Brugmansia_08,both,Brugmansia_08_B048
Brugmansia_09_S01_AB,Brugmansia_09,both,Brugmansia_09_B049
Brugmansia_09_S02_AB,Brugmansia_09,both,Brugmansia_09_B050
Brugmansia_09_S03_A_RCL,Brugmansia_09,only_A,Brugmansia_09_B051
Brugmansia_09_S04_AB,Brugmansia_09,both,Brugmansia_09_B052
Brugmansia_09_S05_AB,Brugmansia_09,both,Brugmansia_09_B052
Brugmansia_10_S01_A_RCL,Brugmansia_10,only_A,Brugmansia_10_B053
Brugmansia_10_S02_AB,Brugmansia_10,both,Brugmansia_10_B054
Brugmansia_10_S03_AB,Brugmansia_10,both,Brugmansia_10_B055
Brugmansia_10_S04_AB,Brugmansia_10,both,Brugmansia_10_B056
Brugmansia_11_S01_AB,Brugmansia_11,both,Brugmansia_11_B057
Brugmansia_11_S02_AB,Brugmansia_11,both,Brugmansia_11_B057
Brugmansia_11_S03_AB,Brugmansia_11,both,Brugmansia_11_B058
Brugmansia_11_S04_AB,Brugmansia_11,both,Brugmansia_11_B059
Brugmansia_12_S01_AB,Brugmansia_12,both,Brugmansia_12_B060
Brugmansia_12_S02_AB,Brugmansia_12,both,Brugmansia_12_B061
Brugmansia_12_S03_AB,Brugmansia_12,both,Brugmansia_12_B062
Brugmansia_12_S04_AB,Brugmansia_12,both,Brugmansia_12_B063
Brugmansia_12_S05_AB,Brugmansia_12,both,Brugmansia_12_B063
Brugmansia_12_S06_AB,Brugmansia_12,both,Brugmansia_12_B064
Brugmansia_12_S07_B_RCL,Brugmansia_12,only_B,Brugmansia_12_B065
Brugmansia_12_S08_AB_LUMPA,Brugmansia_12,both,Brugmansia_12_B066
Brugmansia_12_S08.1_AB_SPLITB,Brugmansia_12,both,Brugmansia_12_B066
Brugmansia_12_S08.2_AB_SPLITB,Brugmansia_12,both,Brugmansia_12_B066
Brugmansia_13_S01_AB,Brugmansia_13,both,Brugmansia_13_B067
Brugmansia_13_S02_A_RCL,Brugmansia_13,only_A,Brugmansia_13_B068
Brugmansia_13_S03_AB,Brugmansia_13,both,Brugmansia_13_B069
Brugmansia_13_S04_B_RCL,Brugmansia_13,only_B,Brugmansia_13_B070
Brugmansia_13_S05_AB,Brugmansia_13,both,Brugmansia_13_B071
Brugmansia_13_S06_AB,Brugmansia_13,both,Brugmansia_13_B072
Brugmansia_13_S07_AB,Brugmansia_13,both,Brugmansia_13_B073
Brugmansia_13_S08_AB,Brugmansia_13,both,Brugmansia_13_B074
Brugmansia_13_S09_AB,Brugmansia_13,both,Brugmansia_13_B075
Brugmansia_13_S10_AB,Brugmansia_13,both,Brugmansia_13_B076
Brugmansia_14_S01_A_RCL,Brugmansia_14,only_A,Brugmansia_14_B077
Brugmansia_14_S02_AB,Brugmansia_14,both,Brugmansia_14_B078
Brugmansia_14_S03_AB,Brugmansia_14,both,Brugmansia_14_B078
Brugmansia_14_S04_AB,Brugmansia_14,both,Brugmansia_14_B079
Brugmansia_14_S05_AB,Brugmansia_14,both,Brugmansia_14_B080
Brugmansia_14_S06_AB,Brugmansia_14,both,Brugmansia_14_B080
Brugmansia_15_S01_A_RCL,Brugmansia_15,only_A,Brugmansia_15_B081
Brugmansia_15_S02_AB,Brugmansia_15,both,Brugmansia_15_B082
Brugmansia_16_S01_AB,Brugmansia_16,both,Brugmansia_16_B083
Brugmansia_17_S01_A_RCL,Brugmansia_17,only_A,Brugmansia_17_B084
Brugmansia_18_S01_AB,Brugmansia_18,both,Brugmansia_18_B085
Brugmansia_18_S02_AB,Brugmansia_18,both,Brugmansia_18_B086
Brugmansia_18_S03_AB,Brugmansia_18,both,Brugmansia_18_B087
Brugmansia_18_S04_A_RCL,Brugmansia_18,only_A,Brugmansia_18_B088
Brugmansia_18_S05_B_RCL,Brugmansia_18,only_B,Brugmansia_18_B089
Brugmansia_18_S06_B_RCL,Brugmansia_18,only_B,Brugmansia_18_B090
Brugmansia_19_S01_AB,Brugmansia_19,both,Brugmansia_19_B091
Brugmansia_19_S02_AB,Brugmansia_19,both,Brugmansia_19_B092
Brugmansia_20_S01_B_RCL,Brugmansia_20,only_B,Brugmansia_20_B093
Brugmansia_20_S02_A_RCL,Brugmansia_20,only_A,Brugmansia_20_B094
Brugmansia_20_S03_AB,Brugmansia_20,both,Brugmansia_20_B095
Brugmansia_20_S04_B_RCL,Brugmansia_20,only_B,Brugmansia_20_B096
Brugmansia_20_S05_AB,Brugmansia_20,both,Brugmansia_20_B097
Brugmansia_20_S06_A_RCL,Brugmansia_20,only_A,Brugmansia_20_B098
Brugmansia_20_S07_AB,Brugmansia_20,both,Brugmansia_20_B099
Brugmansia_20_S08_AB,Brugmansia_20,both,Brugmansia_20_B100
Brugmansia_20_S09_AB,Brugmansia_20,both,Brugmansia_20_B101
Brugmansia_20_S10_A_RCL,Brugmansia_20,only_A,Brugmansia_20_B102
Psilocybe_01_S01_AB,Psilocybe_01,both,Psilocybe_01_B103
Psilocybe_01_S02_AB,Psilocybe_01,both,Psilocybe_01_B104
Psilocybe_01_S03_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B105
Psilocybe_01_S04_AB,Psilocybe_01,both,Psilocybe_01_B106
Psilocybe_01_S05_AB,Psilocybe_01,both,Psilocybe_01_B106
Psilocybe_01_S06_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B107
Psilocybe_01_S07_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B108
Psilocybe_01_S08_AB,Psilocybe_01,both,Psilocybe_01_B109
Psilocybe_01_S09_A_RCL,Psilocybe_01,only_A,Psilocybe_01_B110
Psilocybe_02_S01_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B111
Psilocybe_02_S02_AB,Psilocybe_02,both,Psilocybe_02_B112
Psilocybe_02_S03_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B113
Psilocybe_02_S04_AB,Psilocybe_02,both,Psilocybe_02_B114
Psilocybe_02_S05_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B115
Psilocybe_02_S06_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B115
Psilocybe_02_S07_AB,Psilocybe_02,both,Psilocybe_02_B116
Psilocybe_02_S08_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B117
Psilocybe_02_S09_AB,Psilocybe_02,both,Psilocybe_02_B118
Psilocybe_02_S10_AB,Psilocybe_02,both,Psilocybe_02_B119
Psilocybe_02_S11_AB,Psilocybe_02,both,Psilocybe_02_B120
Psilocybe_02_S12_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B121
Psilocybe_02_S13_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B122
Psilocybe_02_S14_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B123
Psilocybe_02_S15_AB,Psilocybe_02,both,Psilocybe_02_B124
Psilocybe_02_S16_AB,Psilocybe_02,both,Psilocybe_02_B125
Psilocybe_02_S17_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B126
Psilocybe_02_S18_AB,Psilocybe_02,both,Psilocybe_02_B127
Psilocybe_02_S19_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B128
Psilocybe_02_S20_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B129
Psilocybe_02_S21_AB,Psilocybe_02,both,Psilocybe_02_B130
Psilocybe_02_S22_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B131
Psilocybe_02_S23_AB,Psilocybe_02,both,Psilocybe_02_B132
Psilocybe_02_S24_AB,Psilocybe_02,both,Psilocybe_02_B133
Psilocybe_02_S25_A_AMB,Psilocybe_02,only_A,Psilocybe_02_B134
Psilocybe_02_S26_A_RCL,Psilocybe_02,only_A,Psilocybe_02_B135
Psilocybe_03_S01_AB,Psilocybe_03,both,Psilocybe_03_B136
Psilocybe_04_S01_B_RCL,Psilocybe_04,only_B,Psilocybe_04_B137
Psilocybe_04_S02_AB,Psilocybe_04,both,Psilocybe_04_B138
Psilocybe_04_S03_AB,Psilocybe_04,both,Psilocybe_04_B139
Psilocybe_05_S01_AB,Psilocybe_05,both,Psilocybe_05_B140
Psilocybe_05_S02_A_AMP,Psilocybe_05,only_A,Psilocybe_05_B141
Psilocybe_05_S03_A_RCL,Psilocybe_05,only_A,Psilocybe_05_B142
Psilocybe_05_S04_A_RCL,Psilocybe_05,only_A,Psilocybe_05_B142
Psilocybe_05_S05_AB,Psilocybe_05,both,Psilocybe_05_B143
Psilocybe_05_S06_A_RCL,Psilocybe_05,only_A,Psilocybe_05_B144
Psilocybe_05_S07_AB,Psilocybe_05,both,Psilocybe_05_B145
Psilocybe_05_S08_AB,Psilocybe_05,both,Psilocybe_05_B146
Psilocybe_05_S09_A_RCL,Psilocybe_05,only_A,Psilocybe_05_B147
Psilocybe_05_S10_AB,Psilocybe_05,both,Psilocybe_05_B148
Psilocybe_05_S11_A_RCL,Psilocybe_05,only_A,Psilocybe_05_B149
Psilocybe_06_S01_AB,Psilocybe_06,both,Psilocybe_06_B150
Psilocybe_06_S02_A_RCL,Psilocybe_06,only_A,Psilocybe_06_B151
Psilocybe_06_S03_A_RCL,Psilocybe_06,only_A,Psilocybe_06_B152
Psilocybe_06_S04_AB,Psilocybe_06,both,Psilocybe_06_B153
Psilocybe_06_S05_A_RCL,Psilocybe_06,only_A,Psilocybe_06_B154
Psilocybe_06_S06_AB,Psilocybe_06,both,Psilocybe_06_B155
Psilocybe_06_S07_A_RCL,Psilocybe_06,only_A,Psilocybe_06_B156
Psilocybe_06_S08_A_RCL,Psilocybe_06,only_A,Psilocybe_06_B157
Psilocybe_06_S09_A_AMP,Psilocybe_06,only_A,Psilocybe_06_B158
Psilocybe_07_S01_AB,Psilocybe_07,both,Psilocybe_07_B159
Psilocybe_07_S02_A_RCL,Psilocybe_07,only_A,Psilocybe_07_B160
Psilocybe_07_S03_AB,Psilocybe_07,both,Psilocybe_07_B161
Psilocybe_07_S04_AB,Psilocybe_07,both,Psilocybe_07_B162
Psilocybe_07_S05_AB,Psilocybe_07,both,Psilocybe_07_B163
Psilocybe_07_S06_AB,Psilocybe_07,both,Psilocybe_07_B164
Psilocybe_07_S07_AB,Psilocybe_07,both,Psilocybe_07_B165
Psilocybe_07_S08_AB,Psilocybe_07,both,Psilocybe_07_B166
Psilocybe_08_S01_AB,Psilocybe_08,both,Psilocybe_08_B167
Psilocybe_08_S02_A_RCL,Psilocybe_08,only_A,Psilocybe_08_B168
Psilocybe_08_S03_AB,Psilocybe_08,both,Psilocybe_08_B169
Psilocybe_08_S04_A_RCL,Psilocybe_08,only_A,Psilocybe_08_B170
Psilocybe_08_S05_B_FRAG,Psilocybe_08,only_B,Psilocybe_08_B171
Psilocybe_08_S06_A_FRAG,Psilocybe_08,only_A,Psilocybe_08_B171
Psilocybe_08_S07_AB,Psilocybe_08,both,Psilocybe_08_B172
Psilocybe_08_S08_AB,Psilocybe_08,both,Psilocybe_08_B173
Psilocybe_08_S09_AB,Psilocybe_08,both,Psilocybe_08_B174
Psilocybe_08_S10_AB,Psilocybe_08,both,Psilocybe_08_B174
Psilocybe_08_S11_A_RCL,Psilocybe_08,only_A,Psilocybe_08_B175
Psilocybe_08_S12_A_RCL,Psilocybe_08,only_A,Psilocybe_08_B176
Psilocybe_09_S01_A_RCL,Psilocybe_09,only_A,Psilocybe_09_B177
Psilocybe_09_S02_A_RCL,Psilocybe_09,only_A,Psilocybe_09_B178
Psilocybe_09_S03_AB,Psilocybe_09,both,Psilocybe_09_B179
Psilocybe_09_S04_A_RCL,Psilocybe_09,only_A,Psilocybe_09_B180
Psilocybe_09_S05_A_RCL,Psilocybe_09,only_A,Psilocybe_09_B181
Psilocybe_10_S01_AB,Psilocybe_10,both,Psilocybe_10_B182
Psilocybe_10_S02_AB,Psilocybe_10,both,Psilocybe_10_B183
Psilocybe_10_S03_AB,Psilocybe_10,both,Psilocybe_10_B184
Psilocybe_10_S04_AB,Psilocybe_10,both,Psilocybe_10_B185
Psilocybe_10_S05_AB,Psilocybe_10,both,Psilocybe_10_B186
Psilocybe_10_S06_AB,Psilocybe_10,both,Psilocybe_10_B187
Psilocybe_10_S07_A_RCL,Psilocybe_10,only_A,Psilocybe_10_B188
Psilocybe_11_S01_AB,Psilocybe_11,both,Psilocybe_11_B189
Psilocybe_11_S02_AB,Psilocybe_11,both,Psilocybe_11_B190
Psilocybe_11_S03_AB,Psilocybe_11,both,Psilocybe_11_B191
Psilocybe_11_S04_AB,Psilocybe_11,both,Psilocybe_11_B192
Psilocybe_11_S05_AB,Psilocybe_11,both,Psilocybe_11_B194
Psilocybe_11_S06_B_RCL,Psilocybe_11,only_B,Psilocybe_11_B193
Psilocybe_11_S07_B_RCL,Psilocybe_11,only_B,Psilocybe_11_B195
Psilocybe_11_S08_AB,Psilocybe_11,both,Psilocybe_11_B196
Psilocybe_12_S01_B_RCL,Psilocybe_12,only_B,Psilocybe_12_B197
Psilocybe_12_S02_AB,Psilocybe_12,both,Psilocybe_12_B198
Psilocybe_12_S03_AB,Psilocybe_12,both,Psilocybe_12_B199
Psilocybe_12_S04_AB,Psilocybe_12,both,Psilocybe_12_B200
Psilocybe_12_S05_B_FRAG,Psilocybe_12,only_B,Psilocybe_12_B200
Psilocybe_12_S06_AB,Psilocybe_12,both,Psilocybe_12_B200
Psilocybe_12_S07_AB,Psilocybe_12,both,Psilocybe_12_B201
Psilocybe_12_S08_AB,Psilocybe_12,both,Psilocybe_12_B202
Psilocybe_12_S09_A_AMP,Psilocybe_12,only_A,Psilocybe_12_B203
Psilocybe_12_S10_A_RCL,Psilocybe_12,only_A,Psilocybe_12_B203
Psilocybe_13_S01_AB,Psilocybe_13,both,Psilocybe_13_B204
Psilocybe_13_S02_AB,Psilocybe_13,both,Psilocybe_13_B205
Psilocybe_13_S03_AB,Psilocybe_13,both,Psilocybe_13_B206
Psilocybe_13_S04_AB,Psilocybe_13,both,Psilocybe_13_B207
Psilocybe_13_S05_AB,Psilocybe_13,both,Psilocybe_13_B208
Psilocybe_13_S06_AB,Psilocybe_13,both,Psilocybe_13_B209
Psilocybe_13_S07_B_RCL,Psilocybe_13,only_B,Psilocybe_13_B210
Psilocybe_13_S08_AB,Psilocybe_13,both,Psilocybe_13_B211
Psilocybe_13_S09_AB,Psilocybe_13,both,Psilocybe_13_B212
Psilocybe_13_S10_AB,Psilocybe_13,both,Psilocybe_13_B213
Psilocybe_13_S11_B_RCL,Psilocybe_13,only_B,Psilocybe_13_B214
Psilocybe_13_S12_B_RCL,Psilocybe_13,only_B,Psilocybe_13_B215
Psilocybe_13_S13_A_RCL,Psilocybe_13,only_A,Psilocybe_13_B216
Psilocybe_14_S01_A_RCL,Psilocybe_14,only_A,Psilocybe_14_B217
Psilocybe_14_S02_B_SOMA,Psilocybe_14,only_B,Psilocybe_14_B218
Psilocybe_14_S03_B_RCL,Psilocybe_14,only_B,Psilocybe_14_B219
Psilocybe_14_S04_AB,Psilocybe_14,both,Psilocybe_14_B220
Psilocybe_14_S05_AB,Psilocybe_14,both,Psilocybe_14_B221
Psilocybe_14_S06_AB,Psilocybe_14,both,Psilocybe_14_B222
Psilocybe_15_S01_A_RCL,Psilocybe_15,only_A,Psilocybe_15_B223
Psilocybe_15_S02_A_RCL,Psilocybe_15,only_A,Psilocybe_15_B224
Psilocybe_15_S03_B_RCL,Psilocybe_15,only_B,Psilocybe_15_B225
Psilocybe_15_S04_AB,Psilocybe_15,both,Psilocybe_15_B226
Psilocybe_15_S05_AB,Psilocybe_15,both,Psilocybe_15_B226
Psilocybe_15_S06_A_RCL,Psilocybe_15,only_A,Psilocybe_15_B227
Psilocybe_15_S07_AB,Psilocybe_15,both,Psilocybe_15_B228
Psilocybe_15_S08_AB,Psilocybe_15,both,Psilocybe_15_B229
Psilocybe_15_S09_B_RCL,Psilocybe_15,only_B,Psilocybe_15_B230
Psilocybe_15_S10_B_RCL,Psilocybe_15,only_B,Psilocybe_15_B230
Psilocybe_15_S11_AB,Psilocybe_15,both,Psilocybe_15_B231
Psilocybe_15_S12_AB,Psilocybe_15,both,Psilocybe_15_B232
Psilocybe_15_S13_AB,Psilocybe_15,both,Psilocybe_15_B233
Psilocybe_15_S14_AB,Psilocybe_15,both,Psilocybe_15_B234
Psilocybe_15_S15_A_RCL,Psilocybe_15,only_A,Psilocybe_15_B235
Psilocybe_15_S16_AB,Psilocybe_15,both,Psilocybe_15_B236
Psilocybe_16_S01_AB,Psilocybe_16,both,Psilocybe_16_B237
Psilocybe_16_S02_AB,Psilocybe_16,both,Psilocybe_16_B238
Psilocybe_16_S03_A_RCL,Psilocybe_16,only_A,Psilocybe_16_B239
Psilocybe_16_S04_AB,Psilocybe_16,both,Psilocybe_16_B240
Psilocybe_16_S05_B_RCL,Psilocybe_16,only_B,Psilocybe_16_B241
Psilocybe_16_S06_AB,Psilocybe_16,both,Psilocybe_16_B242
Psilocybe_16_S07_AB,Psilocybe_16,both,Psilocybe_16_B243
Psilocybe_16_S08_B_RCL,Psilocybe_16,only_B,Psilocybe_16_B244
Psilocybe_16_S09_B_RCL,Psilocybe_16,only_B,Psilocybe_16_B245
Psilocybe_17_S01_A_RCL,Psilocybe_17,only_A,Psilocybe_17_B246
Psilocybe_17_S02_AB,Psilocybe_17,both,Psilocybe_17_B247
Psilocybe_17_S03_AB,Psilocybe_17,both,Psilocybe_17_B248
Psilocybe_17_S04_AB,Psilocybe_17,both,Psilocybe_17_B248
Psilocybe_17_S05_AB,Psilocybe_17,both,Psilocybe_17_B249
Psilocybe_17_S06_AB,Psilocybe_17,both,Psilocybe_17_B250
Psilocybe_17_S07_AB,Psilocybe_17,both,Psilocybe_17_B251
Psilocybe_18_S01_AB,Psilocybe_18,both,Psilocybe_18_B252
Psilocybe_18_S02_AB,Psilocybe_18,both,Psilocybe_18_B253
Psilocybe_18_S03_AB,Psilocybe_18,both,Psilocybe_18_B253
Psilocybe_18_S04_AB,Psilocybe_18,both,Psilocybe_18_B254
Psilocybe_18_S05_AB,Psilocybe_18,both,Psilocybe_18_B255
Psilocybe_18_S06_A_RCL,Psilocybe_18,only_A,Psilocybe_18_B256
Psilocybe_18_S07_AB,Psilocybe_18,both,Psilocybe_18_B257
Psilocybe_18_S08_A_RCL,Psilocybe_18,only_A,Psilocybe_18_B258
Psilocybe_19_S01_A_RCL,Psilocybe_19,only_A,Psilocybe_19_B259
Psilocybe_19_S02_A_RCL,Psilocybe_19,only_A,Psilocybe_19_B260
Psilocybe_19_S03_A_AMP,Psilocybe_19,only_A,Psilocybe_19_B261
Psilocybe_19_S04_B_SOMA,Psilocybe_19,only_B,Psilocybe_19_B262
Psilocybe_19_S05_B_SOMA,Psilocybe_19,only_B,Psilocybe_19_B263
Psilocybe_19_S06_AB,Psilocybe_19,both,Psilocybe_19_B264
Psilocybe_19_S07_B_SOMA,Psilocybe_19,only_B,Psilocybe_19_B265
Psilocybe_19_S08_B_RCL,Psilocybe_19,only_B,Psilocybe_19_B266
Psilocybe_19_S09_B_SOMA,Psilocybe_19,only_B,Psilocybe_19_B267
Psilocybe_19_S10_B_RCL,Psilocybe_19,only_B,Psilocybe_19_B268
Psilocybe_19_S11_B_RCL,Psilocybe_19,only_B,Psilocybe_19_B269
Psilocybe_20_S01_A_AMP,Psilocybe_20,only_A,Psilocybe_20_B270
Psilocybe_20_S02_A_AMP,Psilocybe_20,only_A,Psilocybe_20_B271
Psilocybe_20_S03_A_RCL,Psilocybe_20,only_A,Psilocybe_20_B272
Psilocybe_20_S04_AB,Psilocybe_20,both,Psilocybe_20_B273
Psilocybe_20_S05_A_RCL,Psilocybe_20,only_A,Psilocybe_20_B274
Psilocybe_20_S06_A_FRAG,Psilocybe_20,only_A,Psilocybe_20_B275
Psilocybe_20_S07_AB,Psilocybe_20,both,Psilocybe_20_B275
Psilocybe_20_S08_A_RCL,Psilocybe_20,only_A,Psilocybe_20_B276
Psilocybe_20_S09_AB,Psilocybe_20,both,Psilocybe_20_B277
Psilocybe_20_S10_A_RCL,Psilocybe_20,only_A,Psilocybe_20_B278
Psilocybe_20_S11_AB,Psilocybe_20,both,Psilocybe_20_B279
Psilocybe_20_S12_AB,Psilocybe_20,both,Psilocybe_20_B280
Psilocybe_20_S13_AB,Psilocybe_20,both,Psilocybe_20_B281
Psilocybe_20_S14_A_RCL,Psilocybe_20,only_A,Psilocybe_20_B282
